20230803_175134 
time	T01	T02	T03	T04	T05	T06	T07	T08	T09	T10	T11	T12	T13	U	
time	TEC1	TEC2	CoolingBlockBottom	TabAnode	SurfaceBottomAnode	SurfaceTopAnode	SurfaceBottomCathode	SurfaceTopCathode	TabCathode	SurfaceTopCenter	SurfaceBottomCenter	CoolingBlockTop	Ambient	U	
3773922696.188	25.000	25.000	25.399	25.042	25.012	24.920	25.322	24.931	25.039	24.814	24.988	25.309	23.922	3.76056
3773922698.224	25.000	25.000	25.398	25.041	25.010	24.917	25.319	24.928	25.035	24.812	24.985	25.310	23.885	3.76056
3773922700.285	25.000	25.000	25.398	25.039	25.010	24.918	25.321	24.929	25.035	24.813	24.988	25.308	23.852	3.76056
3773922702.261	25.000	25.000	25.401	25.045	25.014	24.923	25.325	24.933	25.039	24.816	24.989	25.313	23.746	3.76056
3773922704.159	25.000	25.000	25.402	25.042	25.012	24.922	25.322	24.934	25.041	24.817	24.984	25.309	23.759	3.76055
3773922706.190	25.000	25.000	25.402	25.044	25.003	24.924	25.311	24.933	25.038	24.817	24.969	25.311	23.856	3.76056
3773922708.232	25.000	25.000	25.403	25.044	24.998	24.924	25.304	24.936	25.038	24.819	24.960	25.311	23.918	3.76056
3773922710.182	25.000	25.000	25.404	25.043	24.995	24.926	25.302	24.935	25.038	24.820	24.964	25.311	23.953	3.76056
3773922712.230	25.000	25.000	25.398	25.039	25.102	25.039	25.513	24.982	25.035	24.997	25.334	25.305	24.025	3.76055
3773922714.213	25.000	25.000	25.361	25.039	25.537	25.501	26.140	25.238	25.036	25.681	26.232	25.282	24.068	3.76051
3773922716.195	25.000	25.000	25.280	25.041	26.188	26.184	26.991	25.691	25.035	26.646	27.321	25.230	24.102	3.76043
3773922718.238	26.000	26.000	25.190	25.046	26.951	26.976	27.944	26.270	25.040	27.693	28.437	25.161	24.132	3.76032
3773922720.231	26.000	26.000	25.113	25.051	27.729	27.779	28.887	26.894	25.042	28.695	29.480	25.092	24.106	3.76018
3773922722.221	26.000	26.000	25.050	25.060	28.520	28.586	29.826	27.556	25.049	29.654	30.472	25.031	24.172	3.76002
3773922724.180	26.000	26.000	25.003	25.074	29.299	29.372	30.731	28.220	25.058	30.555	31.400	24.976	24.178	3.75985
3773922726.178	26.000	26.000	24.968	25.091	30.071	30.152	31.614	28.893	25.068	31.423	32.289	24.936	24.250	3.75965
3773922728.231	26.000	26.000	24.945	25.114	30.828	30.913	32.472	29.568	25.083	32.252	33.141	24.901	24.097	3.75944
3773922730.207	26.000	26.000	24.933	25.139	31.544	31.629	33.268	30.213	25.100	33.026	33.930	24.878	24.096	3.75922
3773922732.188	26.000	26.000	24.921	25.171	32.249	32.337	34.050	30.861	25.120	33.781	34.703	24.863	24.072	3.75900
3773922734.204	26.000	26.000	24.915	25.207	32.937	33.023	34.802	31.496	25.144	34.503	35.442	24.851	24.070	3.75877
3773922736.174	26.000	26.000	24.908	25.245	33.612	33.695	35.533	32.125	25.168	35.207	36.158	24.841	24.063	3.75854
3773922738.182	26.000	26.000	24.908	25.291	34.263	34.345	36.234	32.738	25.196	35.880	36.845	24.836	24.080	3.75830
3773922740.226	35.000	35.000	24.908	25.340	34.897	34.972	36.908	33.339	25.228	36.532	37.509	24.838	24.074	3.75806
3773922742.231	35.000	35.000	24.906	25.392	35.531	35.600	37.581	33.945	25.262	37.183	38.169	24.834	24.003	3.75782
3773922744.219	35.000	35.000	24.911	25.451	36.122	36.187	38.203	34.513	25.298	37.784	38.781	24.837	23.944	3.75757
3773922746.190	35.000	35.000	24.919	25.519	36.718	36.778	38.824	35.088	25.342	38.389	39.392	24.839	23.959	3.75732
3773922748.181	35.000	35.000	24.922	25.583	37.289	37.342	39.419	35.643	25.383	38.966	39.976	24.839	24.032	3.75708
3773922750.222	35.000	35.000	24.927	25.655	37.856	37.904	40.008	36.198	25.430	39.538	40.554	24.844	24.089	3.75684
3773922752.225	35.000	35.000	24.926	25.728	38.413	38.455	40.583	36.746	25.477	40.100	41.119	24.846	24.111	3.75660
3773922754.230	35.000	35.000	24.931	25.806	38.938	38.972	41.121	37.261	25.527	40.625	41.652	24.854	24.139	3.75636
3773922756.199	35.000	35.000	24.938	25.890	39.458	39.486	41.656	37.775	25.582	41.146	42.177	24.856	24.153	3.75612
3773922758.188	35.000	35.000	24.944	25.976	39.972	39.991	42.178	38.282	25.638	41.655	42.690	24.863	24.185	3.75588
3773922760.233	35.000	35.000	24.947	26.065	40.477	40.487	42.695	38.784	25.696	42.159	43.202	24.869	24.162	3.75563
3773922762.224	42.000	41.000	24.958	26.161	40.972	40.976	43.193	39.273	25.757	42.650	43.691	24.876	24.103	3.75540
3773922764.162	42.000	41.000	24.966	26.257	41.437	41.438	43.664	39.742	25.818	43.113	44.158	24.878	24.091	3.75516
3773922766.222	42.000	41.000	24.975	26.358	41.909	41.902	44.142	40.213	25.886	43.581	44.628	24.890	24.016	3.75494
3773922768.192	42.000	41.000	24.982	26.463	42.369	42.356	44.606	40.674	25.954	44.036	45.086	24.894	23.927	3.75471
3773922770.224	42.000	41.000	24.987	26.567	42.820	42.799	45.059	41.125	26.022	44.480	45.536	24.901	23.906	3.75448
3773922772.217	42.000	41.000	24.997	26.680	43.269	43.243	45.511	41.575	26.096	44.922	45.980	24.907	23.828	3.75425
3773922774.195	42.000	41.000	25.002	26.790	43.692	43.658	45.933	41.999	26.167	45.337	46.394	24.915	23.766	3.75403
3773922776.241	42.000	41.000	25.008	26.901	44.112	44.073	46.355	42.422	26.240	45.753	46.813	24.923	23.696	3.75380
3773922778.202	42.000	41.000	25.019	27.022	44.528	44.483	46.771	42.842	26.320	46.161	47.222	24.928	23.701	3.75359
3773922780.218	42.000	41.000	25.022	27.137	44.933	44.880	47.175	43.249	26.395	46.556	47.622	24.935	23.834	3.75337
3773922782.233	42.000	41.000	25.032	27.264	45.341	45.280	47.582	43.657	26.478	46.954	48.025	24.943	24.096	3.75316
3773922784.189	46.000	46.000	25.039	27.387	45.725	45.656	47.964	44.043	26.559	47.327	48.401	24.950	24.123	3.75295
3773922786.294	46.000	46.000	25.049	27.515	46.117	46.041	48.353	44.438	26.644	47.711	48.787	24.960	24.087	3.75273
3773922788.192	46.000	46.000	25.054	27.636	46.480	46.398	48.715	44.803	26.724	48.067	49.144	24.962	24.120	3.75253
3773922790.215	46.000	46.000	25.065	27.769	46.853	46.766	49.086	45.180	26.813	48.432	49.509	24.972	24.094	3.75231
3773922792.215	46.000	46.000	25.072	27.901	47.216	47.121	49.449	45.547	26.901	48.785	49.866	24.981	23.925	3.75212
3773922794.218	46.000	46.000	25.083	28.037	47.577	47.473	49.803	45.908	26.993	49.132	50.218	24.988	23.937	3.75192
3773922796.235	46.000	46.000	25.092	28.170	47.921	47.811	50.145	46.257	27.082	49.467	50.555	24.997	23.929	3.75173
3773922798.201	46.000	46.000	25.099	28.304	48.260	48.144	50.482	46.597	27.172	49.795	50.885	25.004	23.878	3.75153
3773922800.241	46.000	46.000	25.106	28.441	48.595	48.472	50.813	46.934	27.263	50.118	51.214	25.015	23.742	3.75134
3773922802.160	46.000	46.000	25.118	28.581	48.919	48.791	51.132	47.261	27.358	50.432	51.522	25.020	23.721	3.75115
3773922804.193	46.000	46.000	25.127	28.722	49.201	49.063	51.380	47.568	27.453	50.677	51.722	25.032	23.737	3.75096
3773922806.213	50.000	50.000	25.145	28.863	49.382	49.231	51.503	47.805	27.547	50.773	51.754	25.044	23.736	3.75078
3773922808.183	50.000	50.000	25.169	29.003	49.460	49.305	51.501	47.964	27.644	50.744	51.650	25.065	23.707	3.75062
3773922810.250	50.000	50.000	25.202	29.148	49.463	49.320	51.427	48.066	27.742	50.651	51.481	25.092	23.777	3.75048
3773922812.157	50.000	50.000	25.236	29.287	49.437	49.322	51.332	48.137	27.838	50.570	51.330	25.116	23.764	3.75036
3773922814.199	50.000	50.000	25.266	29.433	49.416	49.347	51.260	48.208	27.935	50.545	51.235	25.142	23.729	3.75024
3773922816.229	50.000	50.000	25.286	29.572	49.421	49.403	51.227	48.294	28.031	50.581	51.210	25.162	23.779	3.75013
3773922818.182	50.000	50.000	25.302	29.712	49.460	49.483	51.240	48.391	28.127	50.652	51.243	25.175	23.936	3.75002
3773922820.233	50.000	50.000	25.310	29.854	49.526	49.556	51.289	48.492	28.225	50.716	51.316	25.189	23.977	3.74991
3773922822.200	50.000	50.000	25.316	29.993	49.605	49.609	51.347	48.577	28.322	50.745	51.388	25.200	24.001	3.74981
3773922824.190	50.000	50.000	25.320	30.132	49.680	49.642	51.402	48.646	28.418	50.746	51.445	25.211	24.019	3.74972
3773922826.241	50.000	50.000	25.326	30.272	49.738	49.666	51.432	48.703	28.516	50.737	51.465	25.221	24.027	3.74963
3773922828.223	50.000	50.000	25.336	30.408	49.777	49.673	51.441	48.747	28.609	50.711	51.454	25.234	23.959	3.74955
3773922830.216	50.000	50.000	25.346	30.540	49.796	49.681	51.432	48.783	28.701	50.690	51.424	25.245	23.948	3.74948
3773922832.178	50.000	50.000	25.357	30.674	49.802	49.705	51.407	48.825	28.793	50.700	51.381	25.254	23.984	3.74940
3773922834.179	50.000	50.000	25.369	30.808	49.805	49.737	51.386	48.872	28.887	50.722	51.355	25.262	24.060	3.74933
3773922836.233	50.000	50.000	25.378	30.942	49.824	49.772	51.386	48.922	28.983	50.747	51.356	25.271	24.120	3.74927
3773922838.212	50.000	50.000	25.386	31.072	49.844	49.800	51.390	48.966	29.075	50.763	51.362	25.275	24.148	3.74920
3773922840.174	50.000	50.000	25.392	31.202	49.867	49.812	51.396	48.999	29.166	50.754	51.368	25.283	24.163	3.74915
3773922842.192	50.000	50.000	25.395	31.328	49.891	49.818	51.403	49.025	29.257	50.741	51.378	25.292	24.235	3.74909
3773922844.181	50.000	50.000	25.405	31.460	49.918	49.831	51.418	49.052	29.351	50.737	51.390	25.298	24.210	3.74904
3773922846.202	50.000	50.000	25.406	31.584	49.942	49.840	51.428	49.073	29.440	50.730	51.399	25.306	24.103	3.74899
3773922848.230	50.000	50.000	25.413	31.707	49.962	49.850	51.434	49.097	29.528	50.732	51.400	25.311	24.129	3.74894
3773922850.237	50.000	50.000	25.415	31.832	49.974	49.860	51.429	49.119	29.617	50.730	51.385	25.314	24.044	3.74888
3773922852.203	50.000	50.000	25.424	31.948	49.986	49.874	51.426	49.142	29.700	50.733	51.378	25.322	24.054	3.74885
3773922854.187	50.000	50.000	25.433	32.075	49.999	49.892	51.428	49.167	29.793	50.741	51.376	25.326	24.149	3.74881
3773922856.189	50.000	50.000	25.439	32.192	50.008	49.904	51.426	49.188	29.879	50.743	51.374	25.332	24.240	3.74877
3773922858.223	50.000	50.000	25.442	32.307	50.019	49.909	51.425	49.204	29.963	50.738	51.371	25.336	24.418	3.74873
3773922860.234	50.000	50.000	25.448	32.430	50.035	49.909	51.431	49.219	30.053	50.724	51.375	25.343	24.388	3.74870
3773922862.217	50.000	50.000	25.455	32.542	50.048	49.908	51.435	49.227	30.135	50.707	51.377	25.351	24.273	3.74867
3773922864.198	50.000	50.000	25.457	32.654	50.062	49.909	51.439	49.235	30.218	50.697	51.382	25.356	24.249	3.74863
3773922866.194	50.000	50.000	25.460	32.764	50.073	49.923	51.440	49.251	30.300	50.709	51.385	25.357	24.192	3.74860
3773922868.230	50.000	50.000	25.464	32.874	50.085	49.940	51.447	49.268	30.381	50.725	51.387	25.359	24.166	3.74857
3773922870.217	50.000	50.000	25.472	32.987	50.102	49.961	51.455	49.291	30.464	50.742	51.392	25.365	24.192	3.74853
3773922872.200	50.000	50.000	25.478	33.095	50.110	49.975	51.451	49.311	30.546	50.747	51.380	25.369	24.379	3.74851
3773922874.215	50.000	50.000	25.482	33.202	50.105	49.973	51.434	49.318	30.623	50.732	51.352	25.373	24.210	3.74848
3773922876.189	50.000	50.000	25.488	33.305	50.101	49.973	51.419	49.326	30.704	50.718	51.332	25.378	24.064	3.74846
3773922878.216	50.000	50.000	25.490	33.409	50.097	49.966	51.408	49.327	30.780	50.704	51.323	25.380	24.076	3.74844
3773922880.227	50.000	50.000	25.497	33.515	50.112	49.970	51.419	49.334	30.861	50.698	51.342	25.384	24.280	3.74842
3773922882.193	50.000	50.000	25.493	33.612	50.124	49.968	51.427	49.336	30.932	50.687	51.355	25.388	24.316	3.74840
3773922884.245	50.000	50.000	25.498	33.714	50.143	49.973	51.441	49.345	31.011	50.687	51.369	25.395	24.128	3.74836
3773922886.189	50.000	50.000	25.497	33.810	50.149	49.974	51.440	49.349	31.084	50.683	51.360	25.394	24.019	3.74835
3773922888.208	50.000	50.000	25.502	33.912	50.152	49.980	51.431	49.360	31.163	50.682	51.344	25.399	23.864	3.74833
3773922890.226	50.000	50.000	25.507	34.009	50.150	49.985	51.421	49.365	31.238	50.681	51.329	25.403	23.729	3.74831
3773922892.194	50.000	50.000	25.511	34.104	50.149	49.991	51.412	49.373	31.311	50.681	51.316	25.404	23.716	3.74829
3773922894.248	50.000	50.000	25.512	34.198	50.147	49.995	51.404	49.380	31.384	50.681	51.307	25.405	23.750	3.74828
3773922896.191	50.000	50.000	25.516	34.289	50.145	49.999	51.395	49.386	31.455	50.678	51.293	25.407	23.891	3.74826
3773922898.218	50.000	50.000	25.517	34.383	50.145	50.003	51.387	49.391	31.526	50.679	51.288	25.406	24.006	3.74825
3773922900.213	50.000	50.000	25.517	34.470	50.144	50.008	51.383	49.398	31.593	50.680	51.287	25.409	24.035	3.74823
3773922902.213	50.000	50.000	25.523	34.563	50.155	50.019	51.392	49.409	31.669	50.687	51.299	25.414	24.091	3.74820
3773922904.233	50.000	50.000	25.524	34.651	50.171	50.024	51.405	49.415	31.738	50.687	51.316	25.415	24.096	3.74820
3773922906.187	50.000	50.000	25.528	34.737	50.180	50.031	51.406	49.424	31.806	50.689	51.312	25.420	24.053	3.74818
3773922908.228	50.000	50.000	25.527	34.821	50.180	50.035	51.401	49.432	31.872	50.689	51.300	25.419	24.084	3.74817
3773922910.164	50.000	50.000	25.532	34.906	50.183	50.042	51.398	49.437	31.937	50.692	51.297	25.419	24.096	3.74816
3773922912.195	50.000	50.000	25.534	34.992	50.186	50.050	51.396	49.445	32.007	50.692	51.289	25.423	24.146	3.74814
3773922914.221	50.000	50.000	25.535	35.071	50.184	50.046	51.389	49.446	32.068	50.679	51.282	25.425	24.260	3.74813
3773922916.181	50.000	50.000	25.538	35.153	50.187	50.040	51.387	49.447	32.135	50.665	51.280	25.428	24.157	3.74811
3773922918.250	50.000	50.000	25.544	35.236	50.192	50.037	51.386	49.445	32.202	50.654	51.277	25.433	24.087	3.74810
3773922920.157	50.000	50.000	25.543	35.315	50.193	50.039	51.381	49.447	32.265	50.655	51.272	25.436	23.979	3.74809
3773922922.194	50.000	50.000	25.546	35.397	50.194	50.047	51.381	49.454	32.330	50.660	51.272	25.438	23.936	3.74808
3773922924.229	50.000	50.000	25.548	35.474	50.198	50.053	51.381	49.460	32.393	50.667	51.271	25.439	23.897	3.74807
3773922926.187	50.000	50.000	25.550	35.547	50.202	50.059	51.378	49.467	32.454	50.669	51.269	25.438	23.874	3.74806
3773922928.219	50.000	50.000	25.548	35.623	50.203	50.054	51.377	49.466	32.515	50.654	51.265	25.440	23.833	3.74805
3773922930.208	50.000	50.000	25.552	35.699	50.208	50.048	51.376	49.465	32.575	50.639	51.265	25.444	23.907	3.74804
3773922932.200	50.000	50.000	25.553	35.775	50.210	50.040	51.376	49.462	32.637	50.624	51.263	25.445	23.846	3.74802
3773922934.231	50.000	50.000	25.553	35.846	50.212	50.036	51.372	49.459	32.700	50.615	51.258	25.450	23.830	3.74802
3773922936.241	50.000	50.000	25.554	35.919	50.216	50.042	51.374	49.462	32.759	50.620	51.257	25.448	23.821	3.74801
3773922938.217	50.000	50.000	25.557	35.991	50.220	50.052	51.373	49.471	32.819	50.634	51.258	25.453	23.874	3.74800
3773922940.174	50.000	50.000	25.558	36.062	50.222	50.059	51.371	49.478	32.877	50.641	51.253	25.452	24.196	3.74799
3773922942.172	50.000	50.000	25.557	36.128	50.219	50.057	51.362	49.478	32.931	50.632	51.241	25.449	24.183	3.74799
3773922944.214	50.000	50.000	25.557	36.199	50.213	50.053	51.350	49.479	32.989	50.618	51.224	25.450	24.010	3.74798
3773922946.209	50.000	50.000	25.562	36.267	50.211	50.051	51.342	49.479	33.049	50.611	51.213	25.455	23.924	3.74797
3773922948.178	50.000	50.000	25.563	36.333	50.207	50.045	51.336	49.476	33.104	50.598	51.208	25.454	23.895	3.74796
3773922950.192	50.000	50.000	25.565	36.402	50.210	50.042	51.337	49.474	33.160	50.593	51.213	25.456	23.853	3.74795
3773922952.163	50.000	50.000	25.566	36.466	50.216	50.043	51.340	49.476	33.217	50.590	51.217	25.457	23.769	3.74795
3773922954.203	50.000	50.000	25.564	36.532	50.219	50.042	51.340	49.475	33.270	50.587	51.216	25.457	23.786	3.74794
3773922956.228	50.000	50.000	25.564	36.594	50.223	50.041	51.341	49.475	33.325	50.583	51.219	25.458	23.879	3.74793
3773922958.228	50.000	50.000	25.563	36.656	50.222	50.040	51.336	49.473	33.376	50.579	51.208	25.458	23.878	3.74793
3773922960.187	50.000	50.000	25.568	36.720	50.217	50.042	51.324	49.477	33.432	50.577	51.190	25.459	23.831	3.74792
3773922962.186	50.000	50.000	25.567	36.780	50.205	50.038	51.305	49.475	33.482	50.569	51.168	25.460	23.784	3.74792
3773922964.164	50.000	50.000	25.573	36.842	50.202	50.041	51.301	49.477	33.537	50.567	51.165	25.463	23.852	3.74790
3773922966.198	50.000	50.000	25.571	36.900	50.203	50.039	51.303	49.477	33.586	50.565	51.172	25.462	23.990	3.74790
3773922968.210	50.000	50.000	25.570	36.963	50.213	50.040	51.313	49.480	33.642	50.562	51.188	25.463	23.888	3.74790
3773922970.215	50.000	50.000	25.570	37.019	50.220	50.043	51.317	49.481	33.689	50.564	51.193	25.463	23.900	3.74789
3773922972.187	50.000	50.000	25.571	37.078	50.224	50.055	51.315	49.487	33.740	50.578	51.187	25.463	23.929	3.74788
3773922974.174	50.000	50.000	25.573	37.138	50.221	50.064	51.307	49.498	33.793	50.585	51.171	25.467	23.960	3.74788
3773922976.239	50.000	50.000	25.574	37.193	50.210	50.061	51.289	49.498	33.843	50.575	51.146	25.465	24.035	3.74788
3773922978.202	50.000	50.000	25.577	37.250	50.200	50.057	51.275	49.497	33.892	50.567	51.129	25.467	24.079	3.74787
3773922980.167	50.000	50.000	25.579	37.302	50.191	50.054	51.262	49.493	33.936	50.557	51.117	25.466	24.007	3.74787
3773922982.214	50.000	50.000	25.580	37.360	50.197	50.056	51.267	49.496	33.985	50.555	51.130	25.470	23.963	3.74785
3773922984.189	50.000	50.000	25.579	37.409	50.203	50.054	51.275	49.497	34.035	50.558	51.145	25.470	23.990	3.74785
3773922986.223	50.000	50.000	25.579	37.469	50.215	50.071	51.286	49.506	34.083	50.573	51.157	25.472	23.986	3.74785
3773922988.224	50.000	50.000	25.578	37.519	50.220	50.081	51.284	49.514	34.132	50.588	51.152	25.470	23.982	3.74785
3773922990.187	50.000	50.000	25.580	37.571	50.214	50.086	51.275	49.523	34.179	50.589	51.134	25.473	23.998	3.74784
3773922992.241	50.000	50.000	25.584	37.625	50.206	50.085	51.261	49.522	34.225	50.582	51.115	25.472	24.003	3.74784
3773922994.190	50.000	50.000	25.585	37.674	50.197	50.082	51.247	49.524	34.269	50.571	51.100	25.471	24.019	3.74783
3773922996.225	50.000	50.000	25.587	37.723	50.191	50.079	51.240	49.521	34.315	50.567	51.090	25.474	24.030	3.74783
3773922998.237	50.000	50.000	25.586	37.771	50.190	50.076	51.238	49.520	34.359	50.560	51.097	25.474	24.028	3.74782
3773923000.196	50.000	50.000	25.586	37.823	50.201	50.081	51.249	49.524	34.405	50.562	51.112	25.476	23.983	3.74782
3773923002.237	50.000	50.000	25.585	37.870	50.209	50.081	51.256	49.523	34.447	50.560	51.121	25.474	23.982	3.74782
3773923004.193	50.000	50.000	25.580	37.917	50.209	50.080	51.252	49.524	34.491	50.557	51.113	25.477	24.061	3.74781
3773923006.219	50.000	50.000	25.582	37.967	50.204	50.078	51.243	49.524	34.534	50.551	51.097	25.475	24.068	3.74781
3773923008.213	50.000	50.000	25.580	38.012	50.199	50.078	51.232	49.524	34.578	50.548	51.083	25.473	24.072	3.74781
3773923010.217	50.000	50.000	25.577	38.056	50.189	50.080	51.219	49.523	34.617	50.552	51.068	25.472	24.076	3.74780
3773923012.228	50.000	50.000	25.579	38.103	50.185	50.085	51.213	49.529	34.660	50.556	51.062	25.472	23.992	3.74779
3773923014.204	50.000	50.000	25.581	38.150	50.185	50.089	51.209	49.534	34.704	50.559	51.059	25.471	23.929	3.74779
3773923016.247	50.000	50.000	25.582	38.197	50.187	50.093	51.210	49.539	34.748	50.560	51.067	25.473	23.985	3.74779
3773923018.160	50.000	50.000	25.579	38.240	50.194	50.091	51.219	49.537	34.787	50.553	51.079	25.468	23.895	3.74779
3773923020.195	50.000	50.000	25.577	38.284	50.206	50.090	51.231	49.537	34.827	50.548	51.095	25.471	23.948	3.74778
3773923022.219	50.000	50.000	25.576	38.328	50.217	50.090	51.242	49.539	34.868	50.548	51.105	25.470	23.988	3.74778
3773923024.178	50.000	50.000	25.576	38.369	50.219	50.091	51.238	49.538	34.908	50.544	51.094	25.470	24.026	3.74778
3773923026.243	50.000	50.000	25.575	38.412	50.216	50.093	51.232	49.540	34.949	50.544	51.085	25.469	24.229	3.74777
3773923028.160	50.000	50.000	25.575	38.455	50.211	50.092	51.224	49.543	34.988	50.542	51.073	25.468	24.101	3.74777
3773923030.193	50.000	50.000	25.572	38.495	50.204	50.092	51.215	49.542	35.025	50.541	51.060	25.466	24.025	3.74777
3773923032.232	50.000	50.000	25.575	38.537	50.202	50.100	51.205	49.549	35.066	50.548	51.051	25.466	23.962	3.74776
3773923034.191	50.000	50.000	25.574	38.576	50.196	50.107	51.200	49.556	35.105	50.557	51.048	25.464	23.887	3.74776
3773923036.236	50.000	50.000	25.573	38.616	50.203	50.111	51.209	49.557	35.142	50.560	51.064	25.464	23.939	3.74776
3773923038.204	50.000	50.000	25.568	38.653	50.212	50.107	51.220	49.556	35.176	50.552	51.079	25.461	23.844	3.74776
3773923040.197	50.000	50.000	25.566	38.693	50.225	50.106	51.232	49.558	35.215	50.547	51.090	25.460	23.880	3.74774
3773923042.247	50.000	50.000	25.565	38.731	50.228	50.107	51.229	49.558	35.253	50.545	51.082	25.462	23.873	3.74774
3773923044.231	50.000	50.000	25.566	38.769	50.224	50.107	51.222	49.560	35.291	50.544	51.070	25.459	23.789	3.74774
3773923046.217	50.000	50.000	25.567	38.810	50.220	50.108	51.213	49.562	35.326	50.542	51.059	25.462	23.762	3.74774
3773923048.185	50.000	50.000	25.569	38.845	50.214	50.108	51.205	49.562	35.362	50.541	51.047	25.461	23.811	3.74774
3773923050.181	50.000	50.000	25.566	38.883	50.209	50.109	51.199	49.565	35.397	50.541	51.041	25.461	23.780	3.74774
3773923052.232	50.000	50.000	25.566	38.921	50.209	50.113	51.196	49.567	35.435	50.546	51.043	25.465	23.768	3.74773
3773923054.213	50.000	50.000	25.569	38.958	50.219	50.117	51.209	49.571	35.471	50.545	51.061	25.463	23.849	3.74773
3773923056.194	50.000	50.000	25.565	38.992	50.231	50.116	51.223	49.573	35.509	50.543	51.080	25.461	23.864	3.74772
3773923058.192	50.000	50.000	25.560	39.028	50.241	50.117	51.233	49.575	35.541	50.542	51.090	25.459	23.795	3.74772
3773923060.179	50.000	50.000	25.560	39.064	50.246	50.118	51.233	49.576	35.576	50.540	51.084	25.458	23.882	3.74772
3773923062.218	50.000	50.000	25.560	39.098	50.241	50.117	51.225	49.577	35.612	50.538	51.071	25.457	23.881	3.74772
3773923064.231	50.000	50.000	25.562	39.135	50.239	50.120	51.220	49.579	35.648	50.538	51.064	25.459	23.896	3.74772
3773923066.244	50.000	50.000	25.560	39.168	50.233	50.118	51.208	49.578	35.681	50.533	51.051	25.457	23.853	3.74771
3773923068.216	50.000	50.000	25.560	39.200	50.229	50.118	51.202	49.579	35.711	50.530	51.041	25.458	23.878	3.74771
3773923070.191	50.000	50.000	25.562	39.236	50.227	50.119	51.197	49.579	35.745	50.530	51.035	25.456	24.198	3.74771
3773923072.189	50.000	50.000	25.561	39.269	50.225	50.122	51.194	49.583	35.780	50.532	51.036	25.455	24.232	3.74770
3773923074.220	50.000	50.000	25.558	39.299	50.225	50.119	51.196	49.581	35.811	50.529	51.042	25.456	24.176	3.74770
3773923076.234	50.000	50.000	25.558	39.332	50.236	50.120	51.209	49.582	35.843	50.528	51.062	25.454	24.136	3.74770
3773923078.211	50.000	50.000	25.558	39.364	50.252	50.122	51.226	49.586	35.876	50.531	51.080	25.454	24.080	3.74770
3773923080.195	50.000	50.000	25.558	39.397	50.256	50.129	51.226	49.592	35.909	50.536	51.075	25.457	24.105	3.74770
3773923082.180	50.000	50.000	25.559	39.428	50.256	50.133	51.224	49.596	35.941	50.541	51.067	25.456	24.097	3.74769
3773923084.226	50.000	50.000	25.560	39.461	50.253	50.137	51.217	49.598	35.973	50.543	51.060	25.459	24.070	3.74769
3773923086.214	50.000	50.000	25.558	39.490	50.248	50.137	51.210	49.600	36.002	50.542	51.050	25.456	24.051	3.74769
3773923088.187	50.000	50.000	25.560	39.522	50.247	50.139	51.206	49.604	36.034	50.542	51.045	25.456	24.038	3.74769
3773923090.220	50.000	50.000	25.560	39.552	50.244	50.142	51.201	49.606	36.063	50.544	51.041	25.454	23.947	3.74768
3773923092.193	50.000	50.000	25.562	39.583	50.244	50.147	51.199	49.611	36.097	50.548	51.037	25.456	23.966	3.74768
3773923094.224	50.000	50.000	25.558	39.609	50.240	50.147	51.193	49.611	36.125	50.546	51.032	25.456	23.936	3.74768
3773923096.225	50.000	50.000	25.559	39.642	50.242	50.152	51.193	49.617	36.156	50.548	51.031	25.455	23.936	3.74767
3773923098.194	50.000	50.000	25.557	39.671	50.243	50.154	51.193	49.619	36.189	50.548	51.033	25.454	23.913	3.74767
3773923100.249	50.000	50.000	25.555	39.698	50.241	50.152	51.190	49.618	36.215	50.545	51.030	25.452	23.909	3.74767
3773923102.200	50.000	50.000	25.552	39.725	50.242	50.152	51.189	49.619	36.244	50.545	51.027	25.449	23.998	3.74767
3773923104.227	50.000	50.000	25.555	39.756	50.247	50.157	51.196	49.625	36.274	50.549	51.038	25.451	23.935	3.74766
3773923106.232	50.000	50.000	25.553	39.783	50.256	50.157	51.203	49.625	36.301	50.546	51.050	25.449	23.900	3.74766
3773923108.197	50.000	50.000	25.550	39.810	50.264	50.159	51.215	49.628	36.333	50.547	51.065	25.450	23.902	3.74766
3773923110.244	50.000	50.000	25.549	39.838	50.269	50.160	51.214	49.630	36.363	50.548	51.057	25.450	23.974	3.74766
3773923112.190	50.000	50.000	25.549	39.864	50.265	50.159	51.210	49.629	36.388	50.542	51.049	25.448	23.960	3.74766
3773923114.214	50.000	50.000	25.550	39.892	50.267	50.161	51.207	49.632	36.418	50.545	51.046	25.448	23.884	3.74766
3773923116.216	50.000	50.000	25.550	39.921	50.265	50.164	51.204	49.636	36.447	50.546	51.040	25.448	23.894	3.74766
3773923118.209	50.000	50.000	25.547	39.944	50.261	50.163	51.198	49.636	36.475	50.546	51.036	25.448	23.814	3.74765
3773923120.241	50.000	50.000	25.546	39.971	50.258	50.163	51.196	49.636	36.501	50.542	51.029	25.447	23.799	3.74765
3773923122.212	50.000	50.000	25.547	39.996	50.257	50.164	51.191	49.638	36.528	50.542	51.024	25.444	23.783	3.74765
3773923124.237	50.000	50.000	25.546	40.022	50.255	50.164	51.188	49.638	36.555	50.540	51.021	25.444	23.832	3.74765
3773923126.159	50.000	50.000	25.545	40.046	50.253	50.163	51.184	49.640	36.581	50.540	51.020	25.443	23.938	3.74764
